Date,Year,TripID,Month,SiteID,TP,pH,EC,DOMgL,DOPctSat,rain24,rainsum72
10/10/2019,2019,10/10/2019-1-CWMN,October,NER125,0.035348,6.95,243,4.9,45,0.2,0.3
10/10/2019,2019,10/10/2019-1-CWMN,October,MPB088,0.026312,7.06,31,8.22,77.2,0.2,0.3
10/10/2019,2019,10/10/2019-1-CWMN,October,BEB025,0.049304,7.01,364,8.81,82.4,0.2,0.3
10/10/2019,2019,10/10/2019-1-CWMN,October,MPB037,0.02306,7.24,10,8.14,77.5,0.2,0.3
10/10/2019,2019,10/10/2019-1-CWMN,October,WIP002,0.036212,7.15,134,,,0.2,0.3
10/10/2019,2019,10/10/2019-1-CWMN,October,POB040,0.066032,6.65,309,7.3,67,0.2,0.3
5/14/2020,2020,5/14/2020-1-CWMN,May,BMB026,0.0268,6.83,41,,87.5,0,0.17
5/14/2020,2020,5/14/2020-1-CWMN,May,HAB010,0.0381,7.03,121,10.2,93.3,0,0.17
5/14/2020,2020,5/14/2020-1-CWMN,May,MEB001,0.0996,6.8,546,10.33,93.9,0,0.17
5/14/2020,2020,5/14/2020-1-CWMN,May,PUB022,0.0398,7.04,41,10.73,96.6,0,0.17
5/14/2020,2020,5/14/2020-1-CWMN,May,HAB006,0.0361,6.97,74,,,0,0.17
5/14/2020,2020,5/14/2020-1-CWMN,May,HAB002,0.037,7.01,10,10.13,96.3,0,0.17
5/14/2020,2020,5/14/2020-1-CWMN,May,GEB020,0.0322,6.94,20,10.51,89.8,0,0.17
5/14/2020,2020,5/14/2020-1-CWMN,May,NER080,0.036,6.78,41,9.96,93.7,0,0.17
