Date,Month,Year,SiteID,EC,TP,pH,DOMgL,DOPctSat,DOTemp
5/13/2021,May,2021,NER150,52,0.0313,6.68,7.7,74,14.2
5/13/2021,May,2021,NER179,110,0.0378,6.99,8.74,85.9,14.6
5/13/2021,May,2021,NER185,249,0.0386,7.02,8.98,84.9,14.5
5/13/2021,May,2021,NER200,52,0.0362,7.04,14.5,95,14.5
5/13/2021,May,2021,PEB008,74,0.043,7.04,9.3,84,11.6
5/13/2021,May,2021,POB040,31,0.0289,6.87,7.3,66,11
5/13/2021,May,2021,PQB036,52,0.0165,7.07,3.5,33,13.2
5/13/2021,May,2021,PQB040,10,0.0171,7.09,9.75,91.6,12.5
5/13/2021,May,2021,PTB028,85,0.0253,7.04,9.3,88,13.5
5/13/2021,May,2021,PTB035,520,0.0373,7.1,9.2,87,13
5/13/2021,May,2021,PTB047,435,0.0292,7.09,8.35,78.3,12.6
5/13/2021,May,2021,PUB022,52,0.0259,7.86,,,12.3
5/13/2021,May,2021,SHB021,62,0.0231,7.78,9.27,89,13.5
5/13/2021,May,2021,SMB001,20,0.0241,7.9,6.64,64.7,14.3
5/13/2021,May,2021,SPB016,10,0.0518,7.71,6.7,67.5,15.8
5/13/2021,May,2021,THB033,235,0.0278,6.71,10.72,94.4,9.7
5/13/2021,May,2021,UNB002,63,0.0677,6.94,8.1,71,10
5/13/2021,May,2021,UNB014,733,0.0343,6.85,9.3,82,10.7
5/13/2021,May,2021,UNB016,85,0.0498,6.74,9.8,88,11
5/13/2021,May,2021,WIP002,10,0.0246,7.92,8.84,84,14
5/13/2021,May,2021,WIP003,10,0.0203,7.91,,,
6/10/2021,June,2021,BEB025,108,0.082,6.86,5.71,62.3,19.6
6/10/2021,June,2021,BMB026,379,0.061,6.47,6.23,71,21.8
6/10/2021,June,2021,EAB010,110,0.0602,6.71,7.9,92.2,23.3
6/10/2021,June,2021,GEB020,285,0.0551,6.85,7.41,77.6,17.5
6/10/2021,June,2021,HAB002,420,0.0857,6.74,6.48,77.5,24.3
6/10/2021,June,2021,HAB006,241,0.0489,6.82,,,
6/10/2021,June,2021,HAB010,776,0.0574,6.11,6.75,77.5,22.6
6/10/2021,June,2021,MEB001,318,0.0652,6.64,9.12,93.6,16
6/10/2021,June,2021,MIB030,345,0.114,6.89,3.87,39.4,16.2
6/10/2021,June,2021,MLB024,160,0.113,6.78,7.76,81.9,17.9
6/10/2021,June,2021,MMB106,20,0.148,6.95,4.12,48.1,23.1
6/10/2021,June,2021,MOB001,171,0.0968,6.52,5.7,70,25.2
6/10/2021,June,2021,MOB032,399,0.0894,6.11,5.1,62,25.5
6/10/2021,June,2021,MPB037,63,0.0496,6.92,5.8,69.2,24.2
6/10/2021,June,2021,MPB088,109,0.0493,6.69,6.97,78.6,21.3
6/10/2021,June,2021,NER002,156,0.591,6.15,0.35,4.1,22.9
6/10/2021,June,2021,NER040,187,0.145,6.2,3.53,37,17.6
6/10/2021,June,2021,NER075,85,0.0615,6.7,6.45,77.8,24.6
6/10/2021,June,2021,NER080,389,0,6.83,6.88,81.7,24.4
6/10/2021,June,2021,NER125,183,0.0589,6.76,1.62,19.2,23.8
6/10/2021,June,2021,NER150,134,0.0599,6.75,4.08,48.3,23.8
6/10/2021,June,2021,NER179,228,0.0764,6.71,6.3,74,24.2
6/10/2021,June,2021,NER185,211,0.0614,6.59,6.3,75,24.2
6/10/2021,June,2021,NER200,278,0.0735,6.7,7.5,88,23.9
6/10/2021,June,2021,PEB008,86,0.0873,6.35,6.24,68.4,19.9
6/10/2021,June,2021,POB040,345,0.0802,6.92,4.74,50.8,18.5
6/10/2021,June,2021,PQB036,,,,0.97,11,21.7
6/10/2021,June,2021,PQB040,148,0.0321,6.73,6.92,79,22
6/10/2021,June,2021,PTB028,30,0.057,6.78,4.2,48,21.8
6/10/2021,June,2021,PTB035,292,0.0925,6.43,4.8,54,21
6/10/2021,June,2021,PTB047,538,0.0536,6.33,6.6,73,20.3
6/10/2021,June,2021,PUB022,624,0.0583,6.46,8.32,93.6,14.2
6/10/2021,June,2021,SHB021,52,0.0463,6.73,6.91,79.1,22.1
6/10/2021,June,2021,SMB001,74,0.0374,7.02,4.6,49.9,19.2
